epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,556.938,1.02344,2.04559,0.97373,2.95787,0.83961,0.50391,0.56477,0.35223,0.83744,0.5026,0.56401,0.3383,1.09065,1.71839,1.08682,3.07913,0.000751323,0.000751323,0.000751323
31,574.79,1.01654,2.04808,0.9796,2.93719,0.72588,0.53125,0.56612,0.34863,0.72504,0.52995,0.56253,0.31828,1.06359,1.70146,0.85258,3.00001,0.000690996,0.000690996,0.000690996
32,592.805,1.01582,2.05914,0.9683,2.93557,0.83569,0.51655,0.58803,0.36726,0.81583,0.51693,0.58267,0.33801,1.036,1.56183,0.80546,2.9536,0.000631889,0.000631889,0.000631889
33,610.469,1.00854,2.05672,0.97873,2.93924,0.76753,0.51823,0.56243,0.36258,0.78339,0.52865,0.58359,0.33843,1.01191,1.64256,0.83269,2.94598,0.000574235,0.000574235,0.000574235
34,628.574,0.99047,2.03781,0.95629,2.88661,0.83458,0.50651,0.57604,0.3785,0.82912,0.52214,0.59429,0.35404,1.02227,1.59466,0.79924,2.91284,0.000518261,0.000518261,0.000518261
35,646.423,0.99705,2.06381,0.97658,2.90534,0.83359,0.52734,0.59894,0.38147,0.81627,0.53516,0.59326,0.3479,1.00844,1.57336,0.79068,2.9037,0.000464189,0.000464189,0.000464189
36,664.498,0.97115,2.01169,0.93607,2.86988,0.79921,0.54948,0.5869,0.38895,0.81977,0.55469,0.60298,0.36323,0.96561,1.55302,0.73641,2.85823,0.000412231,0.000412231,0.000412231
37,682.571,0.96862,2.03031,0.93585,2.85524,0.84855,0.53257,0.59003,0.38046,0.86821,0.54427,0.60798,0.36031,1.02623,1.60762,0.78664,2.95036,0.000362592,0.000362592,0.000362592
38,700.597,0.96209,2.01527,0.9245,2.84185,0.75916,0.54688,0.57767,0.3765,0.80569,0.53906,0.59067,0.35457,0.99125,1.56669,0.77514,2.90959,0.00031547,0.00031547,0.00031547
39,718.738,0.95286,2.00476,0.92005,2.82668,0.8419,0.54083,0.59184,0.38594,0.86303,0.54557,0.60851,0.37245,0.98904,1.54387,0.73309,2.89782,0.000271049,0.000271049,0.000271049
40,736.625,0.93448,1.97744,0.90641,2.81961,0.8311,0.53906,0.59474,0.39112,0.85085,0.54968,0.60867,0.37137,0.97066,1.52681,0.73167,2.87742,0.000229504,0.000229504,0.000229504
41,754.818,0.94997,1.99743,0.93063,2.84326,0.86007,0.53516,0.58706,0.38423,0.87054,0.54167,0.60162,0.35982,0.99571,1.56365,0.74465,2.90753,0.000191001,0.000191001,0.000191001
42,772.681,0.94014,1.99215,0.90226,2.81499,0.83789,0.54818,0.5954,0.38565,0.83993,0.55342,0.60215,0.3616,0.98201,1.55728,0.74501,2.9034,0.000155691,0.000155691,0.000155691
43,790.834,0.93223,1.96699,0.90385,2.80768,0.81336,0.54948,0.58888,0.3837,0.84258,0.55469,0.6093,0.36045,0.99156,1.56024,0.74011,2.91134,0.000123712,0.000123712,0.000123712
44,808.771,0.93241,1.97604,0.90891,2.80337,0.84328,0.54688,0.5963,0.39362,0.859,0.55528,0.60957,0.36758,0.97571,1.55535,0.73131,2.90111,9.5192e-05,9.5192e-05,9.5192e-05
45,826.874,0.928,1.96581,0.90265,2.80393,0.84111,0.54427,0.59502,0.38736,0.85689,0.55208,0.60646,0.36438,0.99121,1.5562,0.7313,2.90377,7.02428e-05,7.02428e-05,7.02428e-05
46,845.001,0.92384,1.99624,0.91282,2.79055,0.8555,0.55208,0.60433,0.39087,0.86429,0.55729,0.60872,0.3659,0.97783,1.5423,0.73155,2.87545,4.8963e-05,4.8963e-05,4.8963e-05
47,863.059,0.91574,1.97193,0.89586,2.77609,0.84487,0.54602,0.5958,0.39124,0.86621,0.55078,0.60603,0.3684,0.97811,1.5394,0.72719,2.88374,3.14365e-05,3.14365e-05,3.14365e-05
48,881.172,0.93765,2.02512,0.92197,2.83443,0.84708,0.54097,0.59697,0.39187,0.85391,0.54798,0.60428,0.36577,0.97669,1.53386,0.73148,2.88305,1.77326e-05,1.77326e-05,1.77326e-05
49,898.873,0.92104,1.97024,0.89668,2.7923,0.85054,0.54297,0.5974,0.39211,0.8618,0.55339,0.60893,0.36939,0.98167,1.53603,0.72794,2.88838,7.90522e-06,7.90522e-06,7.90522e-06
50,916.949,0.91534,1.98971,0.89881,2.77807,0.84768,0.54348,0.59721,0.39038,0.85997,0.55176,0.60903,0.36755,0.97989,1.53801,0.72764,2.88786,1.99325e-06,1.99325e-06,1.99325e-06
